name,rating,address,status,latitude,longitude,province,type
W L McLeod,4.2,"PO Box 559   Vanderhoof, BC V0J 3A0",Public,54.015948,-124.0111589,British Columbia,Elementary
Laity View,4.2,"21023 123 Ave   Maple Ridge, BC V2X 4B5",Public,49.227237,-122.637752,British Columbia,Elementary
Coal Tyee,4.2,"2280 Sun Valley Dr   Nanaimo, BC V9T 6P1",Public,49.1931657,-124.006124,British Columbia,Elementary
Bear Creek,4.2,"13780 80 Ave   Surrey, BC V3W 7X6",Public,49.148003,-122.8409479,British Columbia,Elementary
John Stubbs,4.2,"301 Zealous Cres   Victoria, BC V9C 1H6",Public,48.4357208,-123.4636699,British Columbia,Elementary
David Thompson,4.1,"1051 Pinesprings Rd   Kamloops, BC V2B 7W3",Public,50.7674371,-120.3522961,British Columbia,Elementary
Riverdale,4.1,"10834 108A Ave   Surrey, BC V3R 1W9",Public,49.199447,-122.8172317,British Columbia,Elementary
Hillcrest,4.1,"1180 20 St SE   Salmon Arm, BC V1E 2J4",Public,50.691178,-119.260568,British Columbia,Elementary
Sandowne,4.1,"699 Sandowne Dr   Campbell River, BC V9W 5G9",Public,49.990203,-125.244346,British Columbia,Elementary
Foothills,4.1,"4375 Eaglenest Cres   Prince George, BC V2M 4Y5",Public,53.9163869,-122.8114615,British Columbia,Elementary
James Bay,4.1,"140 Oswego St   Victoria, BC V8V 2B1",Public,48.4171359,-123.3796264,British Columbia,Elementary
North Oyster,4.1,"13470 Cedar Rd   Ladysmith, BC V9G 1H6",Public,49.0443864,-123.8471515,British Columbia,Elementary
Windrem,4.1,"PO Box 210   Chetwynd, BC V0C 1J0",Public,55.69538,-121.6295029,British Columbia,Elementary
Lavington,4,"9715 School Rd   Vernon, BC V1B 3G4",Public,50.2310581,-119.1068916,British Columbia,Elementary
Newton,4,"13359 81 Ave   Surrey, BC V3W 3C5",Public,49.1504208,-122.8525285,British Columbia,Elementary
Surrey Centre,4,"16670 Old Mclellan Rd   Surrey, BC V3S 1K3",Public,49.1079383,-122.7623319,British Columbia,Elementary
100 Mile House,4,"Box 460   100 Mile House, BC V0K 2E0",Public,51.6414648,-121.2962796,British Columbia,Elementary
Windebank,4,"33570 Eleventh Ave   Mission, BC V2V 6Z2",Public,49.1447459,-122.2945486,British Columbia,Elementary
Watson,4,"45305 Watson Rd   Chilliwack, BC V2R 2H5",Public,49.112687,-121.970385,British Columbia,Elementary
James Thomson,4,"6388 Sutherland Ave   Powell River, BC V8A 4W4",Public,49.8893429,-124.5628269,British Columbia,Elementary
Old Yale Road,4,"10135 132 St   Surrey, BC V3T 3T6",Public,49.186902,-122.856784,British Columbia,Elementary
Peter Greer,4,"10300 Sherman Dr   Winfield, BC V4V 1Y8",Public,50.031997,-119.3893988,British Columbia,Elementary
David Hoy,4,"PO Box 880   Fort St James, BC V0J 1P0",Public,54.464698,-124.1723879,British Columbia,Elementary
George Jay,4,"1118 Princess Ave   Victoria, BC V8T 1L3",Public,48.4329871,-123.3516462,British Columbia,Elementary
Pacific Heights,3.9,"17148 26 Ave   Surrey, BC V3S 0A4",Public,49.049165,-122.748224,British Columbia,Elementary
Kennedy Trail,3.9,"8305 122A St   Surrey, BC V3W 9P8",Public,49.1539955,-122.8841564,British Columbia,Elementary
Henry Bose,3.9,"6550 134 St   Surrey, BC V3W 4S3",Public,49.1216038,-122.8505793,British Columbia,Elementary
Park Avenue,3.9,"395 Eighth St   Nanaimo, BC V9R 1A9",Public,49.1432338,-123.9427483,British Columbia,Elementary
Conrad,3.9,"825 Conrad St   Prince Rupert, BC V8J 3B8",Public,54.320862,-130.300177,British Columbia,Elementary
George M Murray,3.9,"PO Box 968   Lillooet, BC V0K 1V0",Public,50.6902203,-121.9344796,British Columbia,Elementary
Discovery,3.9,"PO Box 99   Shawnigan Lake, BC V0R 2W0",Public,48.655001,-123.6250842,British Columbia,Elementary
Merritt Central,3.9,"PO Box 408   Merritt, BC V1K 1B8",Public,50.1110816,-120.7881949,British Columbia,Elementary
Glenrosa,3.9,"3430 Webber Rd   Westbank, BC V4T 1G8",Public,49.8388234,-119.6537444,British Columbia,Elementary
F G Leary,3.8,"9320 Walden St   Chilliwack, BC V2P 7Y2",Public,49.171185,-121.921157,British Columbia,Elementary
Peden Hill,3.8,"3500 Westwood Dr   Prince George, BC V2N 1S1",Public,53.8856259,-122.778875,British Columbia,Elementary
Blacklock,3.8,"5100 206 St   Langley, BC V3A 2E5",Public,49.095933,-122.651171,British Columbia,Elementary
Arthur Hatton,3.8,"315 Chestnut Ave   Kamloops, BC V2B 1L4",Public,50.6949386,-120.3515922,British Columbia,Elementary
Macaulay,3.8,"1010 Wychbury Ave   Victoria, BC V9A 5K6",Public,48.425388,-123.405814,British Columbia,Elementary
Birchland,3.8,"1331 Fraser Ave   Port Coquitlam, BC V3B 1M5",Public,49.2691755,-122.7510239,British Columbia,Elementary
Morfee,3.8,"PO Box 1150   Mackenzie, BC V0J 2C0",Public,55.341111,-123.1036735,British Columbia,Elementary
Fraser Lake,3.8,"PO Bag Service 1002   Fraser Lake, BC V0J 1S0",Public,54.042413,-124.8441699,British Columbia,Elementary
South Rutland,3.8,"200 Mallach Rd   Kelowna, BC V1X 2W5",Public,49.8874041,-119.3817964,British Columbia,Elementary
Drinkwater,3.7,"6236 Lane Rd   Duncan, BC V9L 4E3",Public,48.7963385,-123.7256437,British Columbia,Elementary
Carmi,3.7,"400 Carmi Ave   Penticton, BC V2A 3G5",Public,49.4822274,-119.5812457,British Columbia,Elementary
Cache Creek,3.7,"PO Box 128   Cache Creek, BC V0K 1H0",Public,50.8100117,-121.3274016,British Columbia,Elementary
Desert Sands,3.7,"435 Ranch Road PO Box 669  Ashcroft, BC V0K 1A0",Public,50.7341331,-121.267847,British Columbia,Elementary
Kildala,3.7,"803 Columbia Ave E   Kitimat, BC V8C 1V7",Public,54.050362,-128.6599094,British Columbia,Elementary
Peace Christian,3.7,"PO Box 2050   Chetwynd, BC V0C 1J0",Independent,55.69538,-121.6295029,British Columbia,Elementary
Jessie Lee,3.6,"2064 154 St   Surrey, BC V4A 4S3",Public,49.0398526,-122.7942766,British Columbia,Elementary
Nukko Lake,3.6,"23955 Chief Lake Rd   Prince George, BC V2K 5L1",Public,54.0848182,-122.9877707,British Columbia,Elementary
Van Bien,3.6,"311 Wilson Cres   Prince George, BC V2L 4P8",Public,53.8902967,-122.7616408,British Columbia,Elementary
Quadra,3.6,"3031 Quadra St   Victoria, BC V8T 4G2",Public,48.4461796,-123.3610794,British Columbia,Elementary
Davie Jones,3.6,"12030 Blakely Rd   Pitt Meadows, BC V3Y 1J6",Public,49.2207736,-122.6830977,British Columbia,Elementary
Dragon Lake,3.6,"2671 Hydraulic Rd   Quesnel, BC V2J 4H4",Public,52.9725935,-122.4325045,British Columbia,Elementary
Steeples,3.6,"700 24th Ave N   Cranbrook, BC V1C 5P6",Public,49.51841,-115.746691,British Columbia,Elementary
Wix-Brown,3.6,"23851 24 Ave   Langley, BC V2Z 3A3",Public,49.0457443,-122.5600886,British Columbia,Elementary
Quarterway,3.5,"1632 Bowen Rd   Nanaimo, BC V9S 1G6",Public,49.180161,-123.9753647,British Columbia,Elementary
Maple Green,3.5,"14898 Spenser Dr   Surrey, BC V3S 7K7",Public,49.1571192,-122.8099286,British Columbia,Elementary
Wishart,3.5,"3310 Wishart Rd   Victoria, BC V9C 1R1",Public,48.4220026,-123.4936416,British Columbia,Elementary
Thornhill,3.5,"2906 Clark St   Terrace, BC V8G 3S1",Public,54.5121528,-128.5400248,British Columbia,Elementary
Erickson,3.5,"Box 180   Erickson, BC V0B 1K0",Public,49.0640314,-116.483864,British Columbia,Elementary
Nechako,3.5,"61 Nightingale St   Kitimat, BC V8C 1M9",Public,54.0559832,-128.629279,British Columbia,Elementary
Ripple Rock,3.5,"2001 Cheviot Rd   Campbell River, BC V9H 1R4",Public,50.023033,-125.274206,British Columbia,Elementary
M B Sanford,3.4,"7318 143 St   Surrey, BC V3W 7T6",Public,49.1358022,-122.8253426,British Columbia,Elementary
Cherry Hill,3.4,"32557 Best Ave   Mission, BC V2V 2S5",Public,49.1518186,-122.3226125,British Columbia,Elementary
Adam Robertson,3.4,"Box 1549   Creston, BC V0B 1G0",Public,49.0084594,-116.8728968,British Columbia,Elementary
Cedar Hills,3.4,"12370 98 Ave   Surrey, BC V3V 2K3",Public,49.180493,-122.879707,British Columbia,Elementary
Spruceland,3.4,"3805 Rainbow Dr   Prince George, BC V2M 3W2",Public,53.9153809,-122.7931366,British Columbia,Elementary
Georgia Avenue,3.4,"625 Georgia Ave   Nanaimo, BC V9R 3W3",Public,49.1535817,-123.9534812,British Columbia,Elementary
Colwood,3.4,"3000 Wishart Rd   Victoria, BC V9C 1P4",Public,48.4345131,-123.4860487,British Columbia,Elementary
Red Bluff,3.4,"1533 Maple Dr   Quesnel, BC V2J 4A2",Public,52.964146,-122.4659514,British Columbia,Elementary
Victoria West,3.4,"750 Front St   Victoria, BC V9A 3Y4",Public,48.4345325,-123.3883528,British Columbia,Elementary
McCammon Traditional,3.3,"9601 Hamilton St   Chilliwack, BC V2P 3X4",Public,49.1770815,-121.9683374,British Columbia,Elementary
Prince Charles,3.3,"12405 100 Ave   Surrey, BC V3V 2X2",Public,49.184692,-122.877597,British Columbia,Elementary
Diamond Vale,3.3,"2675 Coldwater Ave   Merritt, BC V1K 1B2",Public,50.103942,-120.7752359,British Columbia,Elementary
Cayoosh,3.2,"PO Box 649   Lillooet, BC V0K 1V0",Public,50.6902203,-121.9344796,British Columbia,Elementary
Sunrise Ridge,3.2,"18690 60 Ave   Surrey, BC V3S 8L8",Public,49.111168,-122.704388,British Columbia,Elementary
David Brankin,3.2,"9160 128 St   Surrey, BC V3V 5M8",Public,49.169244,-122.8670736,British Columbia,Elementary
West Heights,3.2,"32065 Van Velzen Ave   Mission, BC V2V 2G6",Public,49.1417435,-122.3366877,British Columbia,Elementary
Highland Park,3.2,"18961 Advent Rd   Pitt Meadows, BC V3Y 2G4",Public,49.227379,-122.696009,British Columbia,Elementary
Hjorth Road,3.1,"14781 104 Ave   Surrey, BC V3R 5X4",Public,49.191679,-122.8130611,British Columbia,Elementary
Lakewood,3.1,"2363 Setchfield Ave   Victoria, BC V9B 5W1",Public,48.465624,-123.5066177,British Columbia,Elementary
Highglen Montessori,3.1,"290 Voyageur Dr   Prince George, BC V2M 4P2",Public,53.9229748,-122.8008686,British Columbia,Elementary
Nesika,3.1,"1180 Moon Ave   Williams Lake, BC V2G 4A6",Public,52.1463619,-122.1545013,British Columbia,Elementary
Pinecrest,3.1,"300 South Birch St   Campbell River, BC V9W 2S1",Public,50.0037246,-125.2425261,British Columbia,Elementary
Harwin,3.1,"1193 Harper Street   Prince George, BC V2M 2X1",Public,53.9136834,-122.7778363,British Columbia,Elementary
Courtenay,3.1,"1540 McPhee Ave   Courtenay, BC V9N 3A5",Public,49.68208,-124.9986511,British Columbia,Elementary
Glenwood,3.1,"20785 24 Ave   Langley, BC V2Z 2B4",Public,49.046408,-122.647666,British Columbia,Elementary
Salmo,3.1,"PO Drawer 220   Salmo, BC V0G 1Z0",Public,49.1176713,-117.2801568,British Columbia,Elementary
Silver Creek,3.1,"PO Box 670   Hope, BC V0X 1L0",Public,49.3331426,-121.215742,British Columbia,Elementary
Golden Ears,3,"23124 118 Ave   Maple Ridge, BC V2X 2N1",Public,49.215732,-122.5814371,British Columbia,Elementary
Kent,3,"7285 McCullough Rd   Agassiz, BC V0M 1A2",Public,49.233964,-121.7581452,British Columbia,Elementary
Nicomekl,3,"20050 53 Ave   Langley, BC V3A 3T9",Public,49.0978562,-122.6670372,British Columbia,Elementary
Holly,3,"10719 150 St   Surrey, BC V3R 4C8",Public,49.197088,-122.8072484,British Columbia,Elementary
Eric J Dunn,3,"3500 Argyle St   Port Alberni, BC V9Y 3A8",Public,49.233436,-124.785673,British Columbia,Elementary
Fairview,3,"205 Howard Ave   Nanaimo, BC V9R 3R3",Public,49.1655827,-123.9566951,British Columbia,Elementary
Ucluelet,3,"PO Box 669   Ucluelet, BC V0R 3A0",Public,49.0090597,-125.492999,British Columbia,Elementary
Cinnabar Valley,2.9,"1800 Richardson Rd   Nanaimo, BC V9X 1C9",Public,49.1121739,-123.9271454,British Columbia,Elementary
Mission Central,2.9,"7466 Welton St   Mission, BC V2V 6L4",Public,49.1372516,-122.3047674,British Columbia,Elementary
Chemainus,2.9,"3172 Garner St RR 2   Chemainus, BC V0R 1K2",Public,48.93072,-123.733416,British Columbia,Elementary
Senator Reid,2.7,"9341 126 St   Surrey, BC V3V 5C4",Public,49.1726207,-122.8745892,British Columbia,Elementary
Ladysmith,2.7,"PO Box 849   Ladysmith, BC V9G 1A6",Public,48.9939001,-123.8194387,British Columbia,Elementary
Chilliwack Central,2.7,"9435 Young Rd   Chilliwack, BC V2P 2P9",Public,49.1739553,-121.9531023,British Columbia,Elementary
William Konkin,2.7,"Box 7000   Burns Lake, BC V0J 1E0",Public,54.2359299,-125.7526164,British Columbia,Elementary
Clayton,2.6,"7541 184 St   Surrey, BC V4N 3G5",Public,49.1394266,-122.7129011,British Columbia,Elementary
David Cameron,2.6,"675 Meaford Ave   Victoria, BC V9B 5Y1",Public,48.4439706,-123.4966612,British Columbia,Elementary
Kenneth Gordon Maplewood,2.6,"420 Seymour River Place   North Vancouver, BC V7H 1S8",Independent,49.3089947,-123.0168964,British Columbia,Elementary
McCloskey,2.5,"11531 80 Ave   Delta, BC V4C 1X5",Public,49.148898,-122.9033199,British Columbia,Elementary
Decker Lake,2.5,"6710 Hwy 16 W   Burns Lake, BC V0J 1E1",Public,54.80981,-127.2026738,British Columbia,Elementary
North Shuswap,2.5,"5295 Squilax-Anglemont Rd   Celista, BC V0E 1M6",Public,50.9424232,-119.3522107,British Columbia,Elementary
Ray Watkins,2.5,"PO Box 70   Gold River, BC V0P 1G0",Public,49.734195,-126.0844668,British Columbia,Elementary
Bernard,2.4,"45465 Bernard Ave   Chilliwack, BC V2P 1H5",Public,49.164865,-121.966263,British Columbia,Elementary
North Cedar,2.4,"2215 Gould Rd W   Nanaimo, BC V9X 1J9",Public,49.0951446,-123.8531326,British Columbia,Elementary
Lena Shaw,2.4,"14250 100A Ave   Surrey, BC V3T 1K8",Public,49.1851069,-122.8275523,British Columbia,Elementary
Forest Park,2.4,"2050 Latimer Rd   Nanaimo, BC V9S 2W5",Public,49.190136,-123.9878574,British Columbia,Elementary
Kirkbride,2.2,"12150 92 Ave   Surrey, BC V3V 1G2",Public,49.170195,-122.885694,British Columbia,Elementary
Forsyth Road,2.1,"10730 139 St   Surrey, BC V3T 4L9",Public,49.1972741,-122.8366087,British Columbia,Elementary
Norgate,2,"1295 Sowden St   North Vancouver, BC V7P 1L9",Public,49.3209779,-123.110206,British Columbia,Elementary
Bella Coola,1.8,"PO Box 7   Bella Coola, BC V0T 1C0",Public,52.372895,-126.7625759,British Columbia,Elementary
Marie Sharpe,1.7,"260 Cameron St   Williams Lake, BC V2G 1S8",Public,52.133665,-122.1448727,British Columbia,Elementary
Alexander Robinson,1.7,"11849 238B St   Maple Ridge, BC V4R 2T8",Public,49.2168397,-122.5612989,British Columbia,Elementary
John Muir,1.6,"7179 West Coast Rd   Sooke, BC V9Z 1H7",Public,48.370977,-123.7490319,British Columbia,Elementary
Poirier,1.6,"PO Box 940   Sooke, BC V9Z 1H9",Public,48.37568,-123.72571,British Columbia,Elementary
Ruth King,1.5,"2764 Jacklin Rd   Victoria, BC V9B 3X6",Public,48.4508231,-123.506024,British Columbia,Elementary
Quinson,1.4,"251 Ogilvie St S   Prince George, BC V2M 3M4",Public,53.923346,-122.788961,British Columbia,Elementary
W E Kinvig,1.3,"13266 70B Ave   Surrey, BC V3W 8N1",Public,49.1306768,-122.8544238,British Columbia,Elementary
Ron Brent,1.3,"1401 17th Ave   Prince George, BC V2L 3Z2",Public,53.907676,-122.7523262,British Columbia,Elementary
Cassie Hall,0.9,"2620 Eby St   Terrace, BC V8G 2X3",Public,54.5089005,-128.5984892,British Columbia,Elementary
Cedar,0.9,"261 Cedar St   Campbell River, BC V9W 2V3",Public,50.01217,-125.244431,British Columbia,Elementary
Brechin,0.7,"510 Millstone Ave   Nanaimo, BC V9S 5A9",Public,49.1778098,-123.9543546,British Columbia,Elementary
Bayview,0.6,"140 View St   Nanaimo, BC V9R 4N6",Public,49.1525351,-123.9382067,British Columbia,Elementary
Voyageur,0.1,"1337 Lark Ave   Quesnel, BC V2J 4K5",Public,52.9778666,-122.5257185,British Columbia,Elementary
Aboriginal Choice,0,"2579 Victoria St   Prince George, BC V2L 2M3",Public,53.898372,-122.755527,British Columbia,Elementary
Kitwanga,0,"PO Box 88   Kitwanga, BC V0J 2A0",Public,55.1174001,-127.9440956,British Columbia,Elementary
Nak'albun,0,"PO Box 1390   Fort St James, BC V0J 1P0",Independent,54.464698,-124.1723879,British Columbia,Elementary
Nisga'a,0,"Box 239   New Aiyansh, BC V0J 1A0",Public,55.2051402,-129.0729876,British Columbia,Elementary
York House,10,"4176 Alexandra St   Vancouver, BC V6J 2V6",Independent,49.249007,-123.1411439,British Columbia,Secondary
Crofton House,10,"3200 41st Ave W   Vancouver, BC V6N 3E1",Independent,49.2344415,-123.1769115,British Columbia,Secondary
Little Flower,10,"4195 Alexandra St   Vancouver, BC V6J 4C6",Independent,49.2482546,-123.1419721,British Columbia,Secondary
Southridge,10,"2656 160 St   Surrey, BC V3S 0B7",Independent,49.0501069,-122.7789211,British Columbia,Secondary
St George's,10,"4175 W 29th Ave   Vancouver, BC V6S 1V1",Independent,49.2471603,-123.1983488,British Columbia,Secondary
Collingwood,10,"70 Morven Dr   West Vancouver, BC V7S 1B2",Independent,49.360647,-123.119622,British Columbia,Secondary
West Point Grey,9.9,"4125 8th Ave W   Vancouver, BC V6R 4P9",Independent,49.2665849,-123.2002576,British Columbia,Secondary
Richmond Christian,9.9,"5240 Woodwards Rd   Richmond, BC V7E 1H1",Independent,49.143094,-123.166532,British Columbia,Secondary
Brentwood College,9.8,"2735 Mt Baker Rd   Mill Bay, BC V0R 2P1",Independent,48.6530355,-123.5555034,British Columbia,Secondary
Mulgrave,9.7,"2330 Cypress Lane   West Vancouver, BC V7S 3H9",Independent,49.349508,-123.1940294,British Columbia,Secondary
Shawnigan Lake,9.3,"1975 Renfrew Rd Postal Bag 2000   Shawnigan Lake, BC V0R 2W1",Independent,48.6554964,-123.6371187,British Columbia,Secondary
St John's,9.3,"2215 10th Ave W   Vancouver, BC V6K 2J1",Independent,49.2631041,-123.1557678,British Columbia,Secondary
Stratford Hall,9.3,"3000 Commercial Dr   Vancouver, BC V5N 4E2",Independent,49.2574576,-123.0694391,British Columbia,Secondary
Glenlyon Norfolk,9.2,"801 Bank St   Victoria, BC V8S 4A8",Independent,48.4203752,-123.3302642,British Columbia,Secondary
King David,9.1,"5718 Willow St   Vancouver, BC V5Z 4S9",Independent,49.233476,-123.1233179,British Columbia,Secondary
Meadowridge,8.8,"12224 240 St   Maple Ridge, BC V4R 1N1",Independent,49.224554,-122.5568409,British Columbia,Secondary
Pacific Academy,8.7,"10238 168 St   Surrey, BC V4N 1Z4",Independent,49.1884835,-122.754227,British Columbia,Secondary
St Thomas More,8.6,"7450 12th Ave   Burnaby, BC V3N 2K1",Independent,49.2152125,-122.9384629,British Columbia,Secondary
St Michaels,8.4,"3400 Richmond Rd   Victoria, BC V8P 4P5",Independent,48.4516957,-123.3279532,British Columbia,Secondary
Seaquam,8.4,"11584 Lyon Rd   Delta, BC V4E 2K4",Public,49.1265752,-122.9024667,British Columbia,Secondary
Vancouver College,8.2,"5400 Cartier St   Vancouver, BC V6M 3A5",Independent,49.2360166,-123.135953,British Columbia,Secondary
Pitt Meadows,8.2,"19438 116b Ave   Pitt Meadows, BC V3Y 1G1",Public,49.2140244,-122.6827817,British Columbia,Secondary
Lord Byng,8.1,"3939 16th Ave W   Vancouver, BC V6R 3C9",Public,49.2585212,-123.1920965,British Columbia,Secondary
Okanagan Mission,8,"4544 Gordon Dr   Kelowna, BC V1W 1T4",Public,49.8184765,-119.4859036,British Columbia,Secondary
Handsworth,8,"1044 Edgewood Rd   North Vancouver, BC V7R 1Y7",Public,49.352194,-123.100369,British Columbia,Secondary
St Ann's,8,"205 Columbia St   Kamloops, BC V2C 2S7",Independent,50.6704825,-120.3371204,British Columbia,Secondary
GW Graham,8,"45955 Thomas Rd   Chilliwack, BC V2R 0B5",Public,49.107351,-121.953062,British Columbia,Secondary
Summerland,7.9,"Box 2501   Summerland, BC V0H 1Z0",Public,49.5717311,-119.8391573,British Columbia,Secondary
Chemainus,7.9,"9947 Daniel St   Chemainus, BC V0R 1K0",Public,48.928753,-123.7250604,British Columbia,Secondary
MEI,7.7,"4081 Clearbrook Rd   Abbotsford, BC V4X 2M8",Independent,49.075968,-122.3461129,British Columbia,Secondary
Holy Cross,7.7,"16193 88 Ave   Surrey, BC V4N 1G3",Independent,49.1630484,-122.7745154,British Columbia,Secondary
Carver Christian,7.7,"7650 Sapperton Ave   Burnaby, BC V3N 4E1",Independent,49.236689,-122.899112,British Columbia,Secondary
Mark R. Isfeld,7.6,"1551 Lerwick Rd   Courtenay, BC V9N 9B5",Public,49.702883,-124.958743,British Columbia,Secondary
Revelstoke,7.6,"1007 Vernon Avenue PO Bag 5100  Revelstoke, BC V0E 2S0",Public,50.990704,-118.1991576,British Columbia,Secondary
Sir Winston Churchill,7.6,"7055 Heather St   Vancouver, BC V6P 3P7",Public,49.2203585,-123.1254392,British Columbia,Secondary
Lord Tweedsmuir,7.6,"6151 180 St   Surrey, BC V3S 4L5",Public,49.1149812,-122.7245614,British Columbia,Secondary
St Thomas Aquinas,7.5,"541 Keith Rd W   North Vancouver, BC V7M 1M5",Independent,49.3194737,-123.0872988,British Columbia,Secondary
Dr. Charles Best,7.5,"2525 Como Lake Ave   Coquitlam, BC V3J 3R8",Public,49.2639269,-122.8220984,British Columbia,Secondary
Rockridge,7.5,"5350 Headland Dr   West Vancouver, BC V7W 3H2",Public,49.3502944,-123.2534113,British Columbia,Secondary
Semiahmoo,7.5,"1785 148 St   Surrey, BC V4A 4M6",Public,49.034788,-122.8139111,British Columbia,Secondary
Elphinstone,7.5,"PO Box 770   Gibsons, BC V0N 1V0",Public,49.4085514,-123.4519609,British Columbia,Secondary
J Lloyd Crowe,7.5,"1300 Frances Moran Rd   Trail, BC V1R 4L9",Public,49.1023815,-117.6989346,British Columbia,Secondary
Immaculata,7.4,"1493 K.L.O. Rd   Kelowna, BC V1W 3N8",Independent,49.8604258,-119.4656381,British Columbia,Secondary
George Elliot,7.4,"10241 Bottom Wood Lake Rd   Winfield, BC V4V 1Y7",Public,50.0305392,-119.400537,British Columbia,Secondary
Johnston Heights,7.4,"15350 99 Ave   Surrey, BC V3R 0R9",Public,49.1818103,-122.7971463,British Columbia,Secondary
Sentinel,7.3,"1250 Chartwell Dr   West Vancouver, BC V7S 2R2",Public,49.3452812,-123.1503622,British Columbia,Secondary
Credo Christian,7.3,"21846 52 Ave   Langley, BC V2Y 2M7",Independent,49.095947,-122.617342,British Columbia,Secondary
Burnsview,7.3,"7658 112 St   Delta, BC V4C 4V8",Public,49.1419109,-122.9117785,British Columbia,Secondary
Delta,7.3,"4615 51 St   Delta, BC V4K 2V8",Public,49.085951,-123.0845178,British Columbia,Secondary
Carihi,7.3,"350 Dogwood St   Campbell River, BC V9W 2X9",Public,50.01386,-125.249259,British Columbia,Secondary
David Thompson,7.3,"1535 14th St Unit 1 RR 4   Invermere, BC V0A 1K4",Public,50.5021516,-116.0410705,British Columbia,Secondary
Langley Fundamental,7.2,"21250 42 Ave   Langley, BC V3A 8K6",Public,49.0779685,-122.6348783,British Columbia,Secondary
New Westminster,7.2,"835 Eighth St   New Westminster, BC V3M 3S9",Public,49.2159249,-122.9290843,British Columbia,Secondary
Kelowna,7.2,"1079 Raymer Ave   Kelowna, BC V1Y 4Z7",Public,49.8641428,-119.4783757,British Columbia,Secondary
R C Palmer,7.2,"8160 St. Albans Rd   Richmond, BC V6Y 2K9",Public,49.153888,-123.129424,British Columbia,Secondary
Earl Marriott,7.2,"15751 16 Ave   Surrey, BC V4A 1S1",Public,49.0317242,-122.785634,British Columbia,Secondary
Southpointe,7.1,"1741 56 St   Delta, BC V4L 2B2",Independent,49.0346058,-123.0687305,British Columbia,Secondary
Kelowna Christian,7.1,"2870 Benvoulin Rd   Kelowna, BC V1W 2E3",Independent,49.8628101,-119.4570731,British Columbia,Secondary
Elgin Park,7.1,"13484 24 Ave   Surrey, BC V4A 2G5",Public,49.045553,-122.8485889,British Columbia,Secondary
Abbotsford Christian,7.1,"35011 Old Clayburn Rd   Abbotsford, BC V2S 7L7",Independent,49.0627999,-122.2531044,British Columbia,Secondary
Langley Christian,7.1,"22930 48 Ave   Langley, BC V2Z 2T7",Independent,49.0885358,-122.5893902,British Columbia,Secondary
Grand Forks,7.1,"PO Box 339   Grand Forks, BC V0H 1H0",Public,49.1340816,-118.5133909,British Columbia,Secondary
Maple Ridge,7.1,"21911 122 Ave   Maple Ridge, BC V2X 3X2",Public,49.2250411,-122.6150658,British Columbia,Secondary
Stanley Humphries,7.1,"720 7 Ave   Castlegar, BC V1N 1R5",Public,49.3198724,-117.6603888,British Columbia,Secondary
Heritage Woods,7,"1300 David Avenue   Port Moody, BC V3H 5K6",Public,49.2988554,-122.8413068,British Columbia,Secondary
Kalamalka,7,"7900 McClounie Rd   Vernon, BC V1B 1P8",Public,50.2230626,-119.2491951,British Columbia,Secondary
Sardis,7,"45460 Stevenson Rd   Chilliwack, BC V2R 2Z6",Public,49.121438,-121.966955,British Columbia,Secondary
South Kamloops,7,"821 Munro St   Kamloops, BC V2C 3E9",Public,50.6663326,-120.3199122,British Columbia,Secondary
Delview,7,"9111 116 St   Delta, BC V4C 5W8",Public,49.168629,-122.900383,British Columbia,Secondary
Aberdeen Hall,7,"950 Academy Way   Kelowna, BC V1V 3A4",Independent,49.9361761,-119.4002081,British Columbia,Secondary
Richmond,6.9,"7171 Minoru Blvd   Richmond, BC V6Y 1Z3",Public,49.1610694,-123.1423378,British Columbia,Secondary
Windsor,6.9,"931 Broadview Dr   North Vancouver, BC V7H 2E9",Public,49.3137112,-122.9977429,British Columbia,Secondary
Vernon,6.9,"2303 18 St   Vernon, BC V1T 3Z9",Public,50.258805,-119.2532711,British Columbia,Secondary
Highland,6.9,"750 Pritchard Rd   Comox, BC V9M 3S8",Public,49.6889714,-124.915746,British Columbia,Secondary
Fernie,6.9,"PO Box 370   Fernie, BC V0B 1M0",Public,49.4455151,-114.751544,British Columbia,Secondary
North Delta,6.9,"11447 82 Ave   Delta, BC V4C 5J6",Public,49.15328,-122.9052059,British Columbia,Secondary
Archbishop Carney,6.8,"1335 Dominion Ave   Port Coquitlam, BC V3B 8G7",Independent,49.2591748,-122.7516196,British Columbia,Secondary
Fleetwood Park,6.8,"7940 156 St   Surrey, BC V3S 3R3",Public,49.1476792,-122.7887712,British Columbia,Secondary
Kitsilano,6.8,"2550 10th Ave W   Vancouver, BC V6K 2J6",Public,49.2630021,-123.1625374,British Columbia,Secondary
Seycove,6.8,"1204 Caledonia Ave   North Vancouver, BC V7G 2A6",Public,49.3185198,-122.9507705,British Columbia,Secondary
Moscrop,6.8,"4433 Moscrop St   Burnaby, BC V5G 2G3",Public,49.2432792,-123.0047438,British Columbia,Secondary
St Patrick's,6.8,"115 11th Ave E   Vancouver, BC V5T 2C1",Independent,49.2614205,-123.102507,British Columbia,Secondary
W J Mouat,6.8,"32355 Mouat Dr   Abbotsford, BC V2T 4E9",Public,49.0594279,-122.3285423,British Columbia,Secondary
